"SNPID","Position","Disease/Trait name","P value","PMID","Chr"
"rs10938397","45182527","Obesity (body mass index (BMI) > 30 kg/m2))","1.48e-7","20935630","4"
"rs10938397","45182527","Obesity with early age of onset (age >2)","1.94e-6","22484627","4"
"rs10938397","45182527","Obesity (body mass index (BMI))","3.90e-6","19079261","4"
"rs10938397","45182527","Obesity (body mass index (BMI))","2.16e-5","21935397","4"
"rs10938397","45182527","Extreme childhood obesity (body mass index (BMI))","1.50e-4","19079261","4"
"rs10940186","68244978","Obesity with early age of onset (age >2)","2.93e-4","22484627","5"
"rs10940194","68322358","Obesity with early age of onset (age >2)","5.52e-4","22484627","5"
"rs10940946","31374653","Obesity (body mass index (BMI))","2.46e-5","21935397","5"
"rs10940948","31376487","Obesity (body mass index (BMI))","2.61e-5","21935397","5"
"rs10941315","36732788","Obesity (body mass index (BMI))","1.71e-4","21935397","5"
"rs10945759","162032127","Obesity (body mass index (BMI))","2.56e-4","21935397","6"
"rs10946292","170425521","Obesity-related traits","3.00e-6","23251661","6"
"rs10946398","20661034","Obesity in type 2 diabetes (body mass index (BMI))","4.00e-5","19056611","6"
"rs10946813","26345141","Obesity with early age of onset (age >2)","8.38e-4","22484627","6"
"rs10950840","21163355","Obesity-related traits","7.00e-6","23251661","7"
"rs10950865","21680566","Obesity (body mass index (BMI))","9.91e-4","21935397","7"
"rs10952577","144113535","Obesity with early age of onset (age >2)","8.92e-4","22484627","7"
"rs10953454","104503813","Obesity","7.00e-7","21552555","7"
"rs10956911","95383875","Obesity with early age of onset (age >2)","5.22e-4","22484627","8"
"rs10957789","77043635","Obesity (body mass index (BMI))","6.86e-4","21935397","8"
"rs10957791","77071018","Obesity (body mass index (BMI))","8.32e-4","21935397","8"
"rs10961412","14192730","Obesity with early age of onset (age >2)","9.84e-5","22484627","9"
"rs10961424","14208724","Obesity with early age of onset (age >2)","4.69e-5","22484627","9"
"rs10961601","14589694","Obesity with early age of onset (age >2)","9.25e-4","22484627","9"
"rs10961617","14609567","Obesity with early age of onset (age >2)","3.53e-4","22484627","9"
"rs10961634","14643699","Obesity with early age of onset (age >2)","8.34e-4","22484627","9"
"rs10961635","14647361","Obesity with early age of onset (age >2)","8.76e-4","22484627","9"
"rs10961640","14662171","Obesity with early age of onset (age >2)","4.99e-4","22484627","9"
"rs10961650","14671006","Obesity with early age of onset (age >2)","6.07e-4","22484627","9"
"rs10961658","14679893","Obesity with early age of onset (age >2)","7.62e-4","22484627","9"
"rs10965079","21604969","Obesity (body mass index (BMI))","3.30e-4","21935397","9"
"rs10965250","22133284","Type 2 diabetes without obesity","4.96e-11","20581827","9"
"rs10967875","27309659","Obesity-related traits","6.00e-6","23251661","9"
"rs10968093","27753227","Obesity (body mass index (BMI))","6.82e-4","21935397","9"
"rs10968269","28004402","Obesity (body mass index (BMI))","4.25e-5","21935397","9"
"rs10968271","28005432","Obesity (body mass index (BMI))","4.11e-5","21935397","9"
"rs10968291","28031741","Obesity (body mass index (BMI))","1.90e-4","21935397","9"
"rs10968296","28036229","Obesity (body mass index (BMI))","3.81e-4","21935397","9"
"rs10968457","2838470","Obesity-related traits","9.00e-6","23251661","9"
"rs10968562","28402043","Obesity-related traits","7.00e-6","23251661","9"
"rs10968576","28414339","Extreme obesity with early age of onset","2.65e-213","23563609","9"
"rs10968576","28414339","Obesity","3.00e-8","23563607","9"
"rs10968770","28780795","Obesity (body mass index (BMI))","8.16e-4","21935397","9"
"rs10969375","29783989","Obesity-related traits","6.00e-6","23251661","9"
"rs10971632","33665229","Obesity with early age of onset (age >2)","4.17e-4","22484627","9"
"rs10971640","33683475","Obesity with early age of onset (age >2)","4.75e-4","22484627","9"
"rs10971649","33703252","Obesity with early age of onset (age >2)","3.70e-4","22484627","9"
"rs10971678","33750748","Obesity with early age of onset (age >2)","3.78e-4","22484627","9"
"rs10971687","33761112","Obesity with early age of onset (age >2)","3.71e-4","22484627","9"
"rs10972579","35776030","Obesity with early age of onset (age >2)","4.74e-4","22484627","9"
"rs10975928","6950134","Obesity (body mass index (BMI))","2.85e-4","21935397","9"
"rs10977149","8478115","Obesity (body mass index (BMI))","4.86e-4","21935397","9"
"rs10981543","115670988","Obesity (body mass index (BMI))","4.73e-4","21935397","9"
"rs10981545","115675086","Obesity (body mass index (BMI))","3.56e-4","21935397","9"
"rs10982136","117058723","Obesity (body mass index (BMI))","3.71e-4","21935397","9"
"rs10984339","121719114","Obesity (body mass index (BMI))","4.71e-4","21935397","9"
"rs10984340","121719628","Obesity (body mass index (BMI))","2.68e-4","21935397","9"
"rs10987411","129450439","Obesity (body mass index (BMI))","2.18e-4","21935397","9"
"rs10987413","129459438","Obesity (body mass index (BMI))","1.80e-4","21935397","9"
"rs10987414","129459478","Obesity (body mass index (BMI))","1.82e-4","21935397","9"
"rs10987417","129462501","Obesity (body mass index (BMI))","5.10e-6","21935397","9"
"rs10987417","129462501","Obesity (extreme)","5.14e-6","21935397","9"
"rs10987447","129508612","Obesity (body mass index (BMI))","9.89e-4","21935397","9"
"rs10987448","129508659","Obesity (body mass index (BMI))","8.74e-4","21935397","9"
"rs10988705","101868571","Obesity (body mass index (BMI))","4.06e-4","21935397","9"
"rs10993877","136829071","Obesity with early age of onset (age >2)","2.49e-4","22484627","9"
"rs10994706","63049790","Obesity with early age of onset (age >2)","8.30e-4","22484627","10"
"rs10999409","72332440","Obesity (extreme)","5.00e-6","19553259","10"
"rs10999409","72332440","Extreme obesity (body mass index (BMI))","5.32e-6","19553259","10"
"rs11006747","28150935","Obesity-related traits","8.00e-6","23251661","10"
"rs11009338","33606306","Obesity (body mass index (BMI))","8.91e-4","21935397","10"
"rs11014249","25111910","Obesity-related traits","3.00e-6","23251661","10"
"rs11015103","26716683","Obesity with early age of onset (age >2)","3.60e-4","22484627","10"
"rs11021824","11395983","Obesity (body mass index (BMI))","4.89e-4","21935397","11"
"rs11023514","15321099","Obesity with early age of onset (age >2)","2.56e-4","22484627","11"
"rs11023518","15330115","Obesity (body mass index (BMI))","3.58e-4","21935397","11"
"rs11023519","15332750","Obesity with early age of onset (age >2)","8.58e-4","22484627","11"
"rs11023543","15375869","Obesity (body mass index (BMI))","3.55e-4","21935397","11"
"rs11023568","15439281","Obesity (body mass index (BMI))","3.85e-4","21935397","11"
"rs11025523","20378124","Obesity-related traits","7.00e-6","23251661","11"
"rs11030067","27620932","Obesity with early age of onset (age >2)","8.62e-4","22484627","11"
"rs11030084","27643725","Obesity with early age of onset (age >2)","1.52e-4","22484627","11"
"rs11030086","27646157","Obesity with early age of onset (age >2)","4.12e-5","22484627","11"
"rs11030102","27681596","Obesity with early age of onset (age >2)","5.92e-5","22484627","11"
"rs11030104","27684517","Obesity with early age of onset (age >2)","7.29e-5","22484627","11"
"rs11030107","27694835","Obesity with early age of onset (age >2)","6.71e-5","22484627","11"
"rs11030108","27695464","Obesity with early age of onset (age >2)","9.48e-4","22484627","11"
"rs11030410","28700544","Obesity with early age of onset (age >2)","1.13e-4","22484627","11"
"rs11030414","28726670","Obesity with early age of onset (age >2)","1.26e-4","22484627","11"
"rs11030618","29243293","Obesity with early age of onset (age >2)","2.05e-4","22484627","11"
"rs11034170","4862853","Obesity with early age of onset (age >2)","2.16e-4","22484627","11"
"rs11034781","38510453","Obesity (body mass index (BMI))","6.51e-4","21935397","11"
"rs11034857","38589311","Obesity (body mass index (BMI))","1.75e-4","21935397","11"
"rs11034860","38593694","Obesity (body mass index (BMI))","1.77e-4","21935397","11"
"rs11034867","38604379","Obesity (body mass index (BMI))","1.91e-4","21935397","11"
"rs11034869","38608228","Obesity (body mass index (BMI))","1.93e-4","21935397","11"
"rs11034944","38764208","Obesity (body mass index (BMI))","3.91e-5","21935397","11"
"rs11034952","38788615","Obesity (body mass index (BMI))","5.60e-6","21935397","11"
"rs11034968","38839499","Obesity (body mass index (BMI))","3.78e-5","21935397","11"
"rs11034972","38860022","Obesity (body mass index (BMI))","3.37e-5","21935397","11"
"rs11040843","6305977","Obesity with early age of onset (age >2)","7.38e-4","22484627","11"
"rs11042023","8662516","Obesity","1.00e-11","23563607","11"
"rs11042023","8662516","Obesity class","1.38e-11","23563607","11"
"rs11042329","9416258","Obesity (body mass index (BMI))","3.10e-4","21935397","11"
"rs11043845","18241252","Obesity (body mass index (BMI))","9.07e-4","21935397","12"
"rs11043876","18277377","Obesity (body mass index (BMI))","9.29e-4","21935397","12"
"rs11046043","21588168","Obesity (body mass index (BMI))","1.90e-4","21935397","12"
"rs11046048","21592200","Obesity (body mass index (BMI))","1.90e-4","21935397","12"
"rs11046061","21600952","Obesity (body mass index (BMI))","1.76e-4","21935397","12"
"rs11046075","21621419","Obesity (body mass index (BMI))","2.33e-4","21935397","12"
"rs11046081","21641177","Obesity (body mass index (BMI))","5.47e-4","21935397","12"
"rs11046207","21996045","Obesity-related traits","5.00e-6","23251661","12"
"rs11047188","24134126","Obesity (body mass index (BMI))","8.59e-4","21935397","12"
"rs11047189","24138764","Obesity (body mass index (BMI))","5.88e-4","21935397","12"
"rs1104953","233870366","Obesity (body mass index (BMI))","4.59e-4","21935397","2"
"rs1104974","131158052","Obesity with early age of onset (age >2)","7.25e-4","22484627","11"
"rs11052558","33406389","Obesity with early age of onset (age >2)","9.75e-4","22484627","12"
"rs11052559","33406652","Obesity with early age of onset (age >2)","9.94e-4","22484627","12"
"rs1105262","58148699","Obesity (body mass index (BMI))","8.55e-4","21935397","20"
"rs1105314","78572542","Obesity (body mass index (BMI))","3.02e-4","21935397","16"
"rs11055289","13375896","Obesity (body mass index (BMI))","6.27e-4","21935397","12"
"rs1105569","43793388","Obesity (body mass index (BMI))","2.29e-4","21935397","17"
"rs11055946","14506131","Obesity with early age of onset (age >2)","4.73e-4","22484627","12"
"rs11055949","14509652","Obesity with early age of onset (age >2)","5.93e-4","22484627","12"
"rs11055952","14521424","Obesity with early age of onset (age >2)","6.69e-5","22484627","12"
"rs11055954","14524499","Obesity with early age of onset (age >2)","7.09e-4","22484627","12"
"rs11055957","14535551","Obesity with early age of onset (age >2)","5.93e-4","22484627","12"
"rs11055971","14585079","Obesity with early age of onset (age >2)","8.20e-4","22484627","12"
"rs11055976","14604912","Obesity with early age of onset (age >2)","7.41e-4","22484627","12"
"rs11055991","14633223","Obesity with early age of onset (age >2)","7.68e-4","22484627","12"
"rs11057069","16928510","Obesity (body mass index (BMI))","5.87e-4","21935397","12"
"rs11057513","124688501","Obesity (body mass index (BMI))","6.08e-4","21935397","12"
"rs1105999","99360533","Obesity (body mass index (BMI))","6.02e-4","21935397","10"
"rs1106163","176292068","Obesity with early age of onset (age >2)","8.40e-4","22484627","1"
"rs1106217","78572242","Obesity (body mass index (BMI))","3.96e-4","21935397","16"
"rs1106272","2782045","Obesity with early age of onset (age >2)","4.91e-4","22484627","10"
"rs11062805","3872359","Obesity (body mass index (BMI))","7.35e-4","21935397","12"
"rs1106390","41879969","Obesity (body mass index (BMI))","5.60e-4","21935397","4"
"rs11065028","120562974","Obesity-related traits","4.00e-6","23251661","12"
"rs1106693","173352763","Obesity-related traits","2.00e-6","23251661","5"
"rs1106693","173352763","Obesity (body mass index (BMI))","2.06e-4","21935397","5"
"rs1106789","87553409","Obesity with early age of onset (age >2)","6.16e-4","22484627","10"
"rs11068953","118889559","Obesity (body mass index (BMI))","5.66e-5","21935397","12"
"rs11069062","119163079","Obesity-related traits","3.00e-6","23251661","12"
"rs11069317","99262245","Obesity with early age of onset (age >2)","8.47e-4","22484627","13"
"rs11070098","95505262","Obesity-related traits","5.00e-6","23251661","13"
"rs11070098","95505262","Obesity-related traits","8.00e-6","23251661","13"
"rs11070640","48679699","Obesity with early age of onset (age >2)","7.83e-5","22484627","15"
"rs11071927","67261172","Obesity (body mass index (BMI))","1.00e-6","19151714","15"
"rs11073381","95265012","Obesity (body mass index (BMI))","1.01e-4","21935397","15"
"rs11073382","95274277","Obesity (body mass index (BMI))","2.02e-4","21935397","15"
"rs11073383","95274349","Obesity (body mass index (BMI))","2.03e-4","21935397","15"
"rs1107390","22795270","Obesity (body mass index (BMI))","3.90e-4","21935397","14"
"rs11073952","85661270","Obesity with early age of onset (age >2)","8.35e-4","22484627","15"
"rs11073955","85670789","Obesity with early age of onset (age >2)","8.13e-4","22484627","15"
"rs11075335","9534094","Obesity (body mass index (BMI))","6.03e-4","21935397","16"
"rs11075985","53805207","Obesity (body mass index (BMI))","1.00e-13","21935397","16"
"rs11075985","53805207","Obesity with early age of onset (age >2)","3.91e-13","22484627","16"
"rs11075986","53805344","Obesity class","3.54e-9","23563607","16"
"rs11075987","53815161","Obesity with early age of onset (age >2)","6.31e-10","22484627","16"
"rs11075987","53815161","Obesity (body mass index (BMI))","3.40e-9","21935397","16"
"rs11075989","53819877","Obesity (body mass index (BMI))","3.79e-13","21935397","16"
"rs11075989","53819877","Obesity with early age of onset (age >2)","7.70e-11","22484627","16"
"rs11075990","53819893","Obesity with early age of onset (age >2)","2.62e-13","22484627","16"
"rs11075990","53819893","Obesity (body mass index (BMI))","3.79e-13","21935397","16"
"rs11076649","90059336","Obesity with early age of onset (age >2)","8.84e-4","22484627","16"
"rs11079830","46682630","Obesity with early age of onset (age >2)","2.94e-4","22484627","17"
"rs11080418","10431749","Obesity (body mass index (BMI))","6.40e-4","21935397","18"
"rs11082143","37177734","Obesity (body mass index (BMI))","9.85e-4","21935397","18"
"rs11082197","38076866","Obesity with early age of onset (age >2)","8.29e-4","22484627","18"
"rs11084422","56548392","Obesity (body mass index (BMI))","8.46e-4","21935397","19"
"rs11084753","34322137","Obesity with early age of onset (age >2)","5.12e-5","22484627","19"
"rs11084753","34322137","Obesity (body mass index (BMI))","1.37e-4","21935397","19"
"rs11085493","21948748","Obesity (body mass index (BMI))","7.08e-4","21935397","19"
"rs11088859","22689344","Obesity","4.00e-8","21552555","21"
"rs11089689","35055208","Obesity with early age of onset (age >2)","1.81e-4","22484627","22"
"rs11096955","38776107","Obesity with early age of onset (age >2)","6.54e-4","22484627","4"
"rs11096957","38776491","Obesity with early age of onset (age >2)","5.99e-4","22484627","4"
"rs11097376","94544223","Obesity with early age of onset (age >2)","4.91e-4","22484627","4"
"rs11097470","96467503","Obesity-related traits","5.00e-6","23251661","4"
"rs11098153","113310036","Obesity with early age of onset (age >2)","2.57e-5","22484627","4"
"rs11098163","113457518","Obesity (body mass index (BMI))","7.85e-4","21935397","4"
"rs11098219","114891757","Obesity with early age of onset (age >2)","5.97e-4","22484627","4"
"rs11098254","115452456","Obesity with early age of onset (age >2)","8.73e-4","22484627","4"
"rs11098809","126273052","Obesity with early age of onset (age >2)","9.79e-4","22484627","4"
"rs1109951","52612044","Obesity (body mass index (BMI))","2.82e-4","21935397","16"
"rs11102329","112276608","Obesity (body mass index (BMI))","5.61e-4","21935397","1"
"rs11106631","92953375","Obesity with early age of onset (age >2)","8.82e-4","22484627","12"
"rs11109072","97901270","Obesity (early onset extreme)","4.00e-9","23563609","12"
"rs11109072","97901270","Extreme obesity with early age of onset","4.21e-9","23563609","12"
"rs11109356","98535518","Obesity (body mass index (BMI))","6.01e-4","21935397","12"
"rs11110031","100164367","Obesity (body mass index (BMI))","5.57e-4","21935397","12"
"rs11112046","104818192","Obesity-related traits","3.00e-6","23251661","12"
"rs11113894","108841863","Obesity-related traits","2.00e-6","23251661","12"
"rs11114027","79775248","Obesity-related traits","3.00e-6","23251661","12"
"rs11115007","82164673","Obesity (body mass index (BMI))","5.04e-4","21935397","12"
"rs11115008","82164859","Obesity (body mass index (BMI))","5.04e-4","21935397","12"
"rs11115009","82165409","Obesity (body mass index (BMI))","5.04e-4","21935397","12"
"rs11115010","82165895","Obesity (body mass index (BMI))","5.04e-4","21935397","12"
"rs11115015","82174543","Obesity (body mass index (BMI))","8.86e-4","21935397","12"
"rs11115017","82176914","Obesity (body mass index (BMI))","8.84e-4","21935397","12"
"rs11118229","219333297","Obesity (body mass index (BMI))","8.62e-4","21935397","1"
"rs11118934","222243455","Obesity (body mass index (BMI))","2.77e-4","21935397","1"
"rs11118936","222251043","Obesity (body mass index (BMI))","1.11e-4","21935397","1"
"rs11118937","222251427","Obesity (body mass index (BMI))","3.67e-5","21935397","1"
"rs11118942","222265553","Obesity (body mass index (BMI))","3.01e-4","21935397","1"
"rs11118943","222266606","Obesity (body mass index (BMI))","3.23e-4","21935397","1"
"rs11119789","211837396","Obesity (body mass index (BMI))","4.39e-4","21935397","1"
"rs11119792","211849969","Obesity (body mass index (BMI))","5.64e-4","21935397","1"
"rs11121691","11181327","Obesity with early age of onset (age >2)","6.18e-5","22484627","1"
"rs11121695","11229515","Obesity with early age of onset (age >2)","4.25e-5","22484627","1"
"rs11121703","11293792","Obesity with early age of onset (age >2)","2.67e-5","22484627","1"
"rs11121704","11293959","Obesity with early age of onset (age >2)","2.37e-5","22484627","1"
"rs11121706","11302065","Obesity with early age of onset (age >2)","1.79e-5","22484627","1"
"rs11121710","11313244","Obesity with early age of onset (age >2)","1.73e-5","22484627","1"
"rs11122867","122515214","Obesity (body mass index (BMI))","1.63e-4","21935397","2"
"rs11124702","40062975","Obesity with early age of onset (age >2)","5.95e-4","22484627","2"
"rs11125632","24737412","Obesity with early age of onset (age >2)","3.00e-5","22484627","2"
"rs11125733","24871798","Obesity with early age of onset (age >2)","1.13e-4","22484627","2"
"rs11125735","24875403","Obesity with early age of onset (age >2)","1.11e-4","22484627","2"
"rs11125750","58577971","Obesity (body mass index (BMI))","4.00e-4","21935397","2"
"rs11125797","25037626","Obesity with early age of onset (age >2)","2.14e-5","22484627","2"
"rs11125878","25226860","Obesity with early age of onset (age >2)","2.24e-4","22484627","2"
"rs11125884","25239264","Obesity with early age of onset (age >2)","4.62e-10","22484627","2"
"rs11126185","68652580","Obesity-related traits","5.00e-6","23251661","2"
"rs11127225","29673607","Obesity (body mass index (BMI))","4.07e-4","21935397","2"
"rs11127483","623691","Obesity with early age of onset (age >2)","4.21e-10","22484627","2"
"rs11127483","623691","Obesity (body mass index (BMI))","2.26e-4","21935397","2"
"rs11127484","623798","Obesity with early age of onset (age >2)","6.65e-12","22484627","2"
"rs11127484","623798","Obesity (body mass index (BMI))","3.70e-4","21935397","2"
"rs11127485","632028","Obesity with early age of onset (age >2)","9.70e-12","22484627","2"
"rs11127485","632028","Obesity in children and adolescents with early age of onset","1.65e-7","20421936","2"
"rs11127485","632028","Obesity (early onset extreme)","2.00e-7","20421936","2"
"rs11127485","632028","Adult obesity (body mass index (BMI))","3.49e-7","20421936","2"
"rs11127485","632028","Obesity (body mass index (BMI))","9.10e-5","21935397","2"
"rs11127491","646145","Obesity with early age of onset (age >2)","9.14e-12","22484627","2"
"rs11127491","646145","Obesity (body mass index (BMI))","8.01e-5","21935397","2"
"rs11127548","76598690","Obesity (body mass index (BMI))","5.35e-4","21935397","3"
"rs11128653","13717663","Obesity (body mass index (BMI))","6.61e-4","21935397","3"
"rs11128892","18684046","Obesity (body mass index (BMI))","9.30e-4","21935397","3"
"rs11130023","44307888","Obesity (body mass index (BMI))","8.02e-4","21935397","3"
"rs11130208","49615624","Obesity with early age of onset (age >2)","1.35e-4","22484627","3"
"rs11130211","49645209","Obesity with early age of onset (age >2)","1.91e-4","22484627","3"
"rs11130833","61215342","Obesity with early age of onset (age >2)","8.88e-4","22484627","3"
"rs11130920","63285738","Obesity (body mass index (BMI))","3.98e-4","21935397","3"
"rs11130924","63308160","Obesity (body mass index (BMI))","4.09e-4","21935397","3"
"rs11132458","169669361","Obesity (body mass index (BMI))","1.84e-4","21935397","4"
"rs11133357","52983386","Obesity (body mass index (BMI))","1.88e-4","21935397","4"
"rs11134338","8983721","Obesity-related traits","8.00e-6","23251661","5"
"rs11135356","164631618","Obesity (body mass index (BMI))","2.07e-4","21935397","5"
"rs11135357","164631708","Obesity (body mass index (BMI))","2.04e-4","21935397","5"
"rs11136865","5224235","Obesity (body mass index (BMI))","5.22e-4","21935397","8"
"rs11142387","72998332","Obesity","4.20e-4","22344221","9"
"rs11143012","74436815","Obesity (body mass index (BMI))","8.75e-4","21935397","9"
"rs11146273","134073393","Obesity (body mass index (BMI))","9.26e-4","21935397","10"
"rs11146313","134100004","Obesity (body mass index (BMI))","5.90e-4","21935397","10"
"rs11150084","78561820","Obesity (body mass index (BMI))","2.37e-4","21935397","16"
"rs11152213","57852948","Obesity class","2.65e-22","23563607","18"
"rs11152213","57852948","Obesity","3.00e-22","23563607","18"
"rs11152213","57852948","Obesity with early age of onset (age >2)","3.10e-10","22484627","18"
"rs11152213","57852948","Obesity (body mass index (BMI))","7.79e-6","21935397","18"
"rs11153597","116437287","Obesity with early age of onset (age >2)","9.70e-4","22484627","6"
"rs11154711","99577230","Obesity with early age of onset (age >2)","8.09e-4","22484627","6"
"rs11154712","99577246","Obesity with early age of onset (age >2)","5.42e-4","22484627","6"
"rs11154713","99577267","Obesity with early age of onset (age >2)","5.36e-4","22484627","6"
"rs11154726","99618365","Obesity with early age of onset (age >2)","3.60e-4","22484627","6"
"rs11154737","99634156","Obesity with early age of onset (age >2)","3.84e-4","22484627","6"
"rs11157928","53151190","Obesity with early age of onset (age >2)","7.65e-4","22484627","14"
"rs11158557","65153186","Obesity (body mass index (BMI))","8.43e-4","21935397","14"
"rs11158559","65240949","Obesity-related traits","1.00e-6","23251661","14"
"rs11158559","65240949","Obesity-related traits","6.00e-6","23251661","14"
"rs11159427","80415594","Obesity with early age of onset (age >2)","8.50e-4","22484627","14"
"rs11159988","91531174","Obesity (body mass index (BMI))","1.53e-4","21935397","14"
"rs11160135","94156172","Obesity with early age of onset (age >2)","8.04e-4","22484627","14"
"rs11162271","77563988","Obesity (body mass index (BMI))","5.10e-4","21935397","1"
"rs11162355","77961074","Obesity (body mass index (BMI))","6.70e-4","21935397","1"
"rs11162945","75234527","Obesity with early age of onset (age >2)","5.65e-4","22484627","1"
"rs11163213","81686213","Obesity with early age of onset (age >2)","7.99e-4","22484627","1"
"rs11163232","81749423","Obesity with early age of onset (age >2)","7.12e-4","22484627","1"
"rs11163400","75252327","Obesity with early age of onset (age >2)","5.65e-4","22484627","1"
"rs11163464","75256135","Obesity with early age of onset (age >2)","5.94e-4","22484627","1"
"rs11164435","102745466","Obesity with early age of onset (age >2)","4.69e-4","22484627","1"
"rs11165433","95976798","Obesity (body mass index (BMI))","8.79e-5","21935397","1"
"rs11165623","96893000","Obesity with early age of onset (age >2)","6.35e-4","22484627","1"
"rs11165675","97039968","Obesity with early age of onset (age >2)","3.63e-4","22484627","1"
"rs11167903","144864833","Obesity with early age of onset (age >2)","6.92e-4","22484627","5"
"rs11168967","49699652","Obesity with early age of onset (age >2)","7.96e-4","22484627","12"
"rs11168973","49710572","Obesity with early age of onset (age >2)","1.57e-4","22484627","12"
"rs11169162","50207126","Obesity with early age of onset (age >2)","9.62e-8","22484627","12"
"rs11169162","50207126","Obesity (body mass index (BMI))","2.92e-4","21935397","12"
"rs11169163","50208343","Obesity with early age of onset (age >2)","1.33e-7","22484627","12"
"rs11169163","50208343","Obesity (body mass index (BMI))","1.94e-4","21935397","12"
"rs11169167","50216801","Obesity with early age of onset (age >2)","9.99e-6","22484627","12"
"rs11169167","50216801","Obesity (body mass index (BMI))","1.67e-4","21935397","12"
"rs11169170","50223013","Obesity (body mass index (BMI))","1.18e-5","21935397","12"
"rs11169170","50223013","Obesity with early age of onset (age >2)","5.51e-5","22484627","12"
"rs11169176","50241013","Obesity with early age of onset (age >2)","2.14e-6","22484627","12"
"rs11169176","50241013","Obesity (body mass index (BMI))","3.10e-6","21935397","12"
"rs11172627","58872671","Obesity (body mass index (BMI))","9.94e-4","21935397","12"
"rs1118618","54326470","Obesity with early age of onset (age >2)","1.15e-4","22484627","2"
"rs11187811","95954581","Obesity with early age of onset (age >2)","8.14e-4","22484627","10"
"rs11191416","104604916","Obesity with early age of onset (age >2)","6.29e-4","22484627","10"
"rs11191425","104625970","Obesity with early age of onset (age >2)","4.87e-4","22484627","10"
"rs11191732","105331761","Obesity (body mass index (BMI))","8.06e-4","21935397","10"
"rs11191749","105378840","Obesity (body mass index (BMI))","8.18e-4","21935397","10"
"rs11198573","120472597","Obesity with early age of onset (age >2)","7.51e-4","22484627","10"
"rs11198601","120530548","Obesity with early age of onset (age >2)","9.04e-4","22484627","10"
"rs11199264","122057157","Obesity (body mass index (BMI))","4.50e-4","21935397","10"
"rs11199266","122061612","Obesity (body mass index (BMI))","2.08e-4","21935397","10"
"rs11199268","122066549","Obesity (body mass index (BMI))","9.69e-4","21935397","10"
"rs11200392","123851827","Obesity-related traits","3.00e-6","23251661","10"
"rs11201253","86588902","Obesity-related traits","6.00e-6","23251661","10"
"rs11203649","14517294","Obesity-related traits","5.00e-7","23251661","8"
"rs1120568","99043875","Obesity with early age of onset (age >2)","7.65e-4","22484627","5"
"rs11206252","54397240","Obesity (body mass index (BMI))","6.14e-5","21935397","1"
"rs11206266","54443867","Obesity (body mass index (BMI))","2.21e-4","21935397","1"
"rs11208659","65979280","Extreme obesity with early age of onset","1.16e-10","23563609","1"
"rs11208659","65979280","Obesity (early onset extreme)","2.00e-9","23563609","1"
"rs1120982","131620714","Obesity with early age of onset (age >2)","8.55e-4","22484627","10"
"rs11209899","72522971","Obesity with early age of onset (age >2)","4.52e-4","22484627","1"
"rs11209906","72545694","Obesity with early age of onset (age >2)","5.11e-4","22484627","1"
"rs11209963","72883303","Obesity with early age of onset (age >2)","3.00e-4","22484627","1"
"rs11210477","75005363","Obesity with early age of onset (age >2)","6.28e-7","22484627","1"
"rs11210478","75008411","Obesity with early age of onset (age >2)","5.00e-7","22484627","1"
"rs11210886","44071546","Obesity (body mass index (BMI))","6.48e-4","21935397","1"
"rs11210888","44076630","Obesity (body mass index (BMI))","5.55e-4","21935397","1"
"rs11210893","44101767","Obesity (body mass index (BMI))","4.61e-4","21935397","1"
"rs11210894","44102587","Obesity (body mass index (BMI))","4.60e-4","21935397","1"
"rs11210896","44103275","Obesity (body mass index (BMI))","4.59e-4","21935397","1"
"rs11213935","111411608","Obesity-related traits","4.00e-6","23251661","11"
"rs11215406","115065082","Obesity with early age of onset (age >2)","9.49e-4","22484627","11"
"rs11215416","115077327","Obesity with early age of onset (age >2)","6.40e-4","22484627","11"
"rs11215417","115077381","Obesity (body mass index (BMI))","5.58e-4","21935397","11"
"rs11215418","115079894","Obesity (body mass index (BMI))","5.36e-4","21935397","11"
"rs11215424","115087421","Obesity with early age of onset (age >2)","2.46e-4","22484627","11"
"rs11215427","115093438","Obesity with early age of onset (age >2)","1.92e-4","22484627","11"
"rs1121682","34492188","Obesity with early age of onset (age >2)","8.32e-5","22484627","10"
"rs11217223","98723216","Obesity-related traits","1.00e-6","23251661","11"
"rs11217223","98723216","Obesity-related traits","6.00e-6","23251661","11"
"rs11218557","122099839","Obesity with early age of onset (age >2)","6.05e-4","22484627","11"
"rs1121980","53809247","Obesity (body mass index (BMI))","1.11e-13","21935397","16"
"rs1121980","53809247","Obesity with early age of onset (age >2)","2.85e-13","22484627","16"
"rs1121980","53809247","Obesity (body mass index (BMI))","9.50e-12","21552555","16"
"rs1121980","53809247","Obesity (early onset extreme)","1.00e-7","18159244","16"
"rs1121980","53809247","Extreme obesity with early age of onset","1.13e-7","18159244","16"
"rs11220503","126332878","Obesity (body mass index (BMI))","4.57e-4","21935397","11"
"rs11220504","126334745","Obesity (body mass index (BMI))","3.10e-4","21935397","11"
"rs11220506","126335329","Obesity (body mass index (BMI))","4.07e-4","21935397","11"
"rs11222369","130744670","Obesity (body mass index (BMI))","5.90e-4","21935397","11"
"rs11222391","130792048","Obesity (body mass index (BMI))","6.80e-4","21935397","11"
"rs11226165","103980615","Obesity (body mass index (BMI))","5.22e-4","21935397","11"
"rs1122899","23555150","Obesity (body mass index (BMI))","6.07e-4","21935397","2"
